id,name,segment,url,D1,D2,D3,D4,D5,D6,ca,posture,c2_fit,c3,twilight,verify
uf-cpic,UF Center for Public Interest Communications,research-center,https://realgoodcenter.jou.ufl.edu/about/ai/,2,2,2,2,2,2,12,Prohibitive,fits,Both-split,True,primary-live-2026-08-09
springer-nature,Springer Nature / Nature,publisher,https://www.nature.com/nature-portfolio/editorial-policies/ai,2,2,2,2,2,2,12,Balanced,fits,Both-split,True,primary-live-2026-08-09
elsevier,Elsevier,publisher,https://www.elsevier.com/about/policies-and-standards/the-use-of-generative-ai-and-ai-assisted-technologies-in-writing-for-elsevier,2,2,2,2,2,2,12,Balanced,fits,Both-split,False,ok
wiley,Wiley,publisher,https://authorservices.wiley.com/ethics-guidelines/index.html,2,2,2,2,2,2,12,Enabling,fits,Both-split,True,primary-live-2026-07-26
taylor-francis,Taylor & Francis,publisher,https://taylorandfrancis.com/our-policies/ai-policy/,2,2,2,2,2,2,12,Enabling,fits,Both-split,True,primary-verified-2026-06-22
science-aaas,Science / AAAS,publisher,https://www.science.org/content/page/science-journals-editorial-policies,1,2,2,2,2,1,10,Balanced,fits,Both-split,True,secondary-wayback-2026-06-14 (live 403; Chrome unavailable this run)
icmje,ICMJE,med-integrity,https://www.icmje.org/recommendations/browse/roles-and-responsibilities/defining-the-role-of-authors-and-contributors.html,2,2,2,2,2,2,12,Balanced,fits,Both-split,False,ok
cope,COPE,pub-ethics,https://publicationethics.org/guidance/cope-position/authorship-and-ai-tools,1,2,2,0,1,1,7,Balanced,fits,Relational,False,secondary-wayback-2026-02-08 (live 403; Chrome unavailable this run)
plos,PLOS,publisher,https://journals.plos.org/plosone/s/ethical-publishing-practice,2,2,2,2,2,2,12,Balanced,fits,Evidential,False,primary-verified-2026-06-22
poynter,Poynter Institute,journalism,https://www.poynter.org/ai-ethics-journalism/ai-ethics-guidelines/,2,2,2,2,2,2,12,Balanced,fits,Evidential,True,secondary-wayback-2026-07-23 → primary kit PDF (live 403; Chrome unavailable this run)
reuters-institute,Reuters Institute (Oxford),journalism-research,https://reutersinstitute.politics.ox.ac.uk/generative-ai-and-news-report-2025-how-people-think-about-ais-role-journalism-and-society,1,1,1,0,1,1,5,Balanced,partially,Both-split,True,ok
